,Project ID,Drive Time,Tilt,Tilt2,Azimuth,Azimuth2,Azimuth3,Panel QTY,System Rating (kW DC),Inverter Manufacturer,Array Type,Squirrel Screen,Consumption Monitoring,Truss / Rafter,Reinforcements,Rough Electrical Inspection,Interconnection Type,Module Length,Module Width,Module Weight,# of Arrays,# of reinforcement,Roof Type,Attachment Type,Portrait / Landscape,# of Stories,Install Season,Total Direct Time for Project for Hourly Employees (Including Drive Time),Total # of Days on Site,Total # Hourly Empoyees on Site,Estimated # of Salaried Employees on Site,Estimated Salary Hours,Estimated Total Direct Time,Estimated Total # of People on Site
30,31,26,34,,260,,,15,5.1,1,0,0,,0,0,0,0,68.5,40.5,43.9,2,0,0,0,0,2,1,24.91666667,1,3,3,24.91666667,49.83333333,6
31,32,12,19,,177,260,,16,5.92,2,0,0,,0,0,0,0,70.67,39.98,41.9,2,0,0,0,0,1,1,26.16666667,1,3,3,26.16666667,52.33333333,6
32,33,13,18,,200,,,11,4.07,1,0,1,,1,1,0,6,70.67,39.98,41.9,1,18,0,0,0,1,1,24.16666667,1,3,3,24.16666667,48.33333333,6
33,34,42,30,,180,,,13,4.81,1,0,0,,1,1,0,9,70.67,39.98,41.9,1,11,0,0,0,1,1,29.16666667,1,3,3,29.16666667,58.33333333,6
34,35,15,25,,270,,,23,7.59,1,0,0,,0,0,0,0,66.53,39.21,39.7,1,0,0,0,0,1,1,26.75,1,3,3,26.75,53.5,6
35,36,21,30,,180,,,13,4.81,2,0,1,,0,0,1,0,70.67,39.98,41.9,1,0,0,0,0,1,1,25.25,1,3,3,25.25,50.5,6
36,37,26,38,,173,,,9,4.05,2,0,0,,1,0,1,2,83.07,41,50.71,1,0,1,2,1,1,2,71,3,3,3,71,142,6
37,38,15,16,,192,,,29,10.73,2,0,1,,0,0,1,8,70.67,39.98,41.9,2,0,0,0,0,2,1,37.95,2,3,3,37.95,75.9,6
38,39,25,18,,157,,,16,6.08,1,0,0,,1,0,1,6,72.4,40.6,43,2,0,0,0,0,1,1,28.36666667,1,3,3,28.36666667,56.73333333,6
39,40,22,,,148,240,,43,15.7,2,0,0,,0,0,0,8,67.8,40,43,8,0,0,0,0,2,1,76.25,3,3,3,76.25,152.5,6
40,41,36,30,,260,,,36,13.32,1,0,0,,0,0,0,11,70.67,39.98,41.9,1,0,0,0,0,1,1,54.9,3,3,3,54.9,109.8,6
41,42,25,10,,162,,,16,5.28,1,0,0,,0,0,1,6,66.9,39.4,41,1,0,1,2,0,1,1,17.5,1,2,3,26.25,43.75,5
42,44,22,20,37,215,125,,21,7.77,2,0,1,,0,0,0,0,70.67,39.98,41.9,3,0,0,0,0,2,2,23.75,2,3,3,23.75,47.5,6
43,45,10,23,,135,,,9,3.33,2,0,1,,1,1,1,6,70.67,39.98,41.9,1,11,0,0,0,1,1,33.16666667,2,3,3,33.16666667,66.33333333,6
44,46,16,30,,180,,,54,23.22,2,1,0,,,0,0,9,81.89,40.56,55.11,2,0,4,4,0,0,2,104.6666667,8,3,3,104.6666667,209.3333333,6
45,47,18,28,,200,,,14,5.18,1,0,1,,0,0,0,0,70.67,39.98,41.9,1,0,0,0,0,1,2,13.5,2,1,3,40.5,54,4
46,49,43,25,,180,,,20,7.4,2,0,0,,0,0,0,2,70.67,39.98,41.9,1,0,0,0,0,2,2,41.5,3,2,3,62.25,103.75,5
47,50,56,30,,180,,,48,17.76,1,1,0,,,0,0,11,70.67,39.98,41.9,2,0,4,4,0,0,2,129,7,3,3,129,258,6
48,51,27,24,,180,90,,19,7.03,2,0,0,,0,0,1,1,70.67,39.98,41.9,2,0,0,0,0,2,2,24.5,1,3,3,24.5,49,6
49,52,16,24,,185,,,31,11.63,1,0,0,,0,0,0,0,67.8,40,43,3,0,0,0,2,2,2,19.65,1,2,3,29.475,49.125,5
50,54,25,20,,175,,,12,4.38,2,0,1,,0,0,1,0,67.8,40,43,1,0,0,0,0,1,2,16.66666667,1,2,3,25,41.66666667,5
51,55,42,22,,180,,,14,4.97,2,0,1,,0,0,0,9,67.8,40,43,2,0,0,0,2,2,2,17.16666667,1,2,3,25.75,42.91666667,5
52,56,33,37,,180,,,14,5.18,1,0,0,,0,0,0,11,70.67,39.98,41.9,1,0,0,0,0,1,2,15.5,1,2,3,23.25,38.75,5
53,57,43,30,,180,,,28,12.6,1,1,0,,,0,0,5,82.79,40.94,55.12,1,0,4,4,0,0,2,64,3,3,3,64,128,6
54,58,12,32,,170,,,17,6.46,2,0,0,,0,0,1,1,70.67,39.98,41.9,1,0,0,0,0,1,2,23.25,1,3,3,23.25,46.5,6
55,60,12,24,,135,,,16,5.92,2,0,1,,0,0,0,0,70.67,39.98,41.9,1,0,0,0,0,2,2,22.5,1,3,3,22.5,45,6
56,61,22,38,,180,,,18,6.66,2,0,0,,1,1,1,6,70.67,39.98,41.9,1,22,0,0,0,2,2,30.75,1,3,3,30.75,61.5,6
57,62,37,20,,245,,,21,7.77,1,0,0,,0,0,0,0,70.67,39.98,41.9,1,0,0,0,0,2,3,23.25,2,3,3,23.25,46.5,6
58,63,23,,,,,,22,8.03,1,0,1,,1,1,1,0,67.8,40,43,1,14,0,0,0,2,2,30.5,2,2,3,45.75,76.25,5
59,64,22,30,,230,,,16,6.08,1,0,1,,1,1,1,0,70.67,39.98,41.9,2,2,0,0,0,2,2,27.66666667,2,2,3,41.5,69.16666667,5
60,65,26,18,,270,,,13,4.81,2,0,0,,0,0,1,1,70.67,39.98,41.9,1,0,0,1,0,2,2,30.5,2,3,3,30.5,61,6
61,66,24,30,,135,,,19,7.03,2,0,0,,0,0,1,0,67.8,40,43,4,0,0,0,2,2,2,27,1,3,3,27,54,6
